"","logFC","logCPM","F","PValue","FDR","class","ensembl_id"
"ENSG00000104723",1.71102868401424,3.25035606807949,14.6129567534767,0.000142317541150658,0.000197890314398943,"+","ENSG00000104723"
"ENSG00000181274",1.71044049694438,4.72891975259116,135.230400771795,5.59752120266715e-29,2.16170937874431e-28,"+","ENSG00000181274"
"ENSG00000144791",1.71012376425158,6.87905875691402,212.533521610201,7.70626756599192e-43,4.86364435487895e-42,"+","ENSG00000144791"
"ENSG00000158301",1.70925715758641,2.59560620621446,28.7253097925831,1.09351330359062e-07,1.79136834078929e-07,"+","ENSG00000158301"
"ENSG00000112312",1.70889429310372,4.98670199806022,280.212422065453,4.14506244369125e-54,3.87788970939709e-53,"+","ENSG00000112312"
"ENSG00000064763",1.7081019610975,4.68466348327956,126.326668682041,2.63536940245673e-27,9.52550233043969e-27,"+","ENSG00000064763"
"ENSG00000161692",1.70755043097436,3.74332491922733,284.585707338679,8.20918297393319e-55,7.86142865459462e-54,"+","ENSG00000161692"
"ENSG00000169258",1.70741100381249,3.39287832123125,50.8933891858242,2.19641520019075e-12,4.43728532425271e-12,"+","ENSG00000169258"
"ENSG00000092445",1.70698032393027,2.02754236576428,63.5642385571266,5.38854772484319e-15,1.21076701779334e-14,"+","ENSG00000092445"
"ENSG00000087095",1.70588503336016,5.53029492956645,519.304901748338,7.28961302828185e-89,2.17448318747093e-87,"+","ENSG00000087095"
"ENSG00000129003",1.70580749195048,9.26938170199098,290.233283807886,1.02427768949569e-55,1.01380833706301e-54,"+","ENSG00000129003"
"ENSG00000137571",1.7050570211545,2.12186863623148,30.6167939787654,4.26897534903713e-08,7.1200802222501e-08,"+","ENSG00000137571"
"ENSG00000092529",1.70396205350847,4.71077032346894,93.1385751850984,6.47714752799278e-21,1.82513499073256e-20,"+","ENSG00000092529"
"ENSG00000119778",1.70143910366297,6.80159836038394,385.102238340826,3.15523403923185e-70,5.09866960063169e-69,"+","ENSG00000119778"
"ENSG00000148180",1.70119450849621,7.57750236394882,64.2844290240602,3.84173654896383e-15,8.69230574705399e-15,"+","ENSG00000148180"
"ENSG00000109501",1.70093787816843,5.16582459259914,37.9450202928275,1.15477973115866e-09,2.07713082776751e-09,"+","ENSG00000109501"
"ENSG00000261609",1.69951260685233,5.01846215024547,305.966891926418,3.2898620530442e-58,3.54267634857274e-57,"+","ENSG00000261609"
"ENSG00000183878",1.697398421419,6.17667435224752,16.1615661148576,6.36955066893157e-05,9.03194071468212e-05,"+","ENSG00000183878"
